Indicador,Provincia,FechaValidez,Valor,Unidad,Frecuencia, 
carbón,León,2000,2696889,Toneladas equivalentes de petróleo,12,meses
carbón,Palencia,2000,248492,Toneladas equivalentes de petróleo,12,meses
carbón,León,2002,2207886,Toneladas equivalentes de petróleo,12,meses
carbón,Palencia,2002,212658,Toneladas equivalentes de petróleo,12,meses
carbón,León,2004,2152631,Toneladas equivalentes de petróleo,12,meses
carbón,Palencia,2004,186719,Toneladas equivalentes de petróleo,12,meses
carbón,León,2006,2019091,Toneladas equivalentes de petróleo,12,meses
carbón,Palencia,2006,219936,Toneladas equivalentes de petróleo,12,meses
carbón,León,2008,1677471,Toneladas equivalentes de petróleo,12,meses
carbón,Palencia,2008,52893,Toneladas equivalentes de petróleo,12,meses
carbón,León,2010,1080298,Toneladas equivalentes de petróleo,12,meses
carbón,Palencia,2010,88997,Toneladas equivalentes de petróleo,12,meses
carbón,León,2012,734358,Toneladas equivalentes de petróleo,12,meses
carbón,Palencia,2012,15793,Toneladas equivalentes de petróleo,12,meses
carbón,León,2014,479538,Toneladas equivalentes de petróleo,12,meses
carbón,Palencia,2014,18761,Toneladas equivalentes de petróleo,12,meses
eólica,Ávila,2000,8587,Toneladas equivalentes de petróleo,12,meses
eólica,Burgos,2000,11140,Toneladas equivalentes de petróleo,12,meses
eólica,León,2000,0,Toneladas equivalentes de petróleo,12,meses
eólica,Palencia,2000,0,Toneladas equivalentes de petróleo,12,meses
eólica,Salamanca,2000,0,Toneladas equivalentes de petróleo,12,meses
eólica,Segovia,2000,396,Toneladas equivalentes de petróleo,12,meses
eólica,Soria,2000,20485,Toneladas equivalentes de petróleo,12,meses
eólica,Valladolid,2000,0,Toneladas equivalentes de petróleo,12,meses
eólica,Zamora,2000,0,Toneladas equivalentes de petróleo,12,meses
eólica,Ávila,2002,18740,Toneladas equivalentes de petróleo,12,meses
eólica,Burgos,2002,24949,Toneladas equivalentes de petróleo,12,meses
eólica,León,2002,0,Toneladas equivalentes de petróleo,12,meses
eólica,Palencia,2002,4562,Toneladas equivalentes de petróleo,12,meses
eólica,Salamanca,2002,0,Toneladas equivalentes de petróleo,12,meses
eólica,Segovia,2002,3120,Toneladas equivalentes de petróleo,12,meses
eólica,Soria,2002,34537,Toneladas equivalentes de petróleo,12,meses
eólica,Valladolid,2002,0,Toneladas equivalentes de petróleo,12,meses
eólica,Zamora,2002,24132,Toneladas equivalentes de petróleo,12,meses
eólica,Ávila,2004,18594,Toneladas equivalentes de petróleo,12,meses
eólica,Burgos,2004,59337,Toneladas equivalentes de petróleo,12,meses
eólica,León,2004,7857,Toneladas equivalentes de petróleo,12,meses
eólica,Palencia,2004,20410,Toneladas equivalentes de petróleo,12,meses
eólica,Salamanca,2004,0,Toneladas equivalentes de petróleo,12,meses
eólica,Segovia,2004,2412,Toneladas equivalentes de petróleo,12,meses
eólica,Soria,2004,54853,Toneladas equivalentes de petróleo,12,meses
eólica,Valladolid,2004,0,Toneladas equivalentes de petróleo,12,meses
eólica,Zamora,2004,37819,Toneladas equivalentes de petróleo,12,meses
eólica,Ávila,2006,21703,Toneladas equivalentes de petróleo,12,meses
eólica,Burgos,2006,111111,Toneladas equivalentes de petróleo,12,meses
eólica,León,2006,11468,Toneladas equivalentes de petróleo,12,meses
eólica,Palencia,2006,24463,Toneladas equivalentes de petróleo,12,meses
eólica,Salamanca,2006,6367,Toneladas equivalentes de petróleo,12,meses
eólica,Segovia,2006,7941,Toneladas equivalentes de petróleo,12,meses
eólica,Soria,2006,114548,Toneladas equivalentes de petróleo,12,meses
eólica,Valladolid,2006,0,Toneladas equivalentes de petróleo,12,meses
eólica,Zamora,2006,55183,Toneladas equivalentes de petróleo,12,meses
eólica,Ávila,2008,22174,Toneladas equivalentes de petróleo,12,meses
eólica,Burgos,2008,159325,Toneladas equivalentes de petróleo,12,meses
eólica,León,2008,19560,Toneladas equivalentes de petróleo,12,meses
eólica,Palencia,2008,64609,Toneladas equivalentes de petróleo,12,meses
eólica,Salamanca,2008,5544,Toneladas equivalentes de petróleo,12,meses
eólica,Segovia,2008,7631,Toneladas equivalentes de petróleo,12,meses
eólica,Soria,2008,128059,Toneladas equivalentes de petróleo,12,meses
eólica,Valladolid,2008,16964,Toneladas equivalentes de petróleo,12,meses
eólica,Zamora,2008,56291,Toneladas equivalentes de petróleo,12,meses
eólica,Ávila,2010,26307,Toneladas equivalentes de petróleo,12,meses
eólica,Burgos,2010,237184,Toneladas equivalentes de petróleo,12,meses
eólica,León,2010,43726,Toneladas equivalentes de petróleo,12,meses
eólica,Palencia,2010,97764,Toneladas equivalentes de petróleo,12,meses
eólica,Salamanca,2010,8850,Toneladas equivalentes de petróleo,12,meses
eólica,Segovia,2010,8074,Toneladas equivalentes de petróleo,12,meses
eólica,Soria,2010,197053,Toneladas equivalentes de petróleo,12,meses
eólica,Valladolid,2010,19452,Toneladas equivalentes de petróleo,12,meses
eólica,Zamora,2010,80609,Toneladas equivalentes de petróleo,12,meses
eólica,Ávila,2012,44744,Toneladas equivalentes de petróleo,12,meses
eólica,Burgos,2012,340467,Toneladas equivalentes de petróleo,12,meses
eólica,León,2012,69098,Toneladas equivalentes de petróleo,12,meses
eólica,Palencia,2012,128743,Toneladas equivalentes de petróleo,12,meses
eólica,Salamanca,2012,32153,Toneladas equivalentes de petróleo,12,meses
eólica,Segovia,2012,7786,Toneladas equivalentes de petróleo,12,meses
eólica,Soria,2012,242558,Toneladas equivalentes de petróleo,12,meses
eólica,Valladolid,2012,29068,Toneladas equivalentes de petróleo,12,meses
eólica,Zamora,2012,90846,Toneladas equivalentes de petróleo,12,meses
eólica,Ávila,2014,51230,Toneladas equivalentes de petróleo,12,meses
eólica,Burgos,2014,363933,Toneladas equivalentes de petróleo,12,meses
eólica,León,2014,74439,Toneladas equivalentes de petróleo,12,meses
eólica,Palencia,2014,145140,Toneladas equivalentes de petróleo,12,meses
eólica,Salamanca,2014,34412,Toneladas equivalentes de petróleo,12,meses
eólica,Segovia,2014,8074,Toneladas equivalentes de petróleo,12,meses
eólica,Soria,2014,253848,Toneladas equivalentes de petróleo,12,meses
eólica,Valladolid,2014,34630,Toneladas equivalentes de petróleo,12,meses
eólica,Zamora,2014,106097,Toneladas equivalentes de petróleo,12,meses
hidráulica,Ávila,2000,7665,Toneladas equivalentes de petróleo,12,meses
hidráulica,Burgos,2000,19047,Toneladas equivalentes de petróleo,12,meses
hidráulica,León,2000,55324,Toneladas equivalentes de petróleo,12,meses
hidráulica,Palencia,2000,16587,Toneladas equivalentes de petróleo,12,meses
hidráulica,Salamanca,2000,362551,Toneladas equivalentes de petróleo,12,meses
hidráulica,Segovia,2000,625,Toneladas equivalentes de petróleo,12,meses
hidráulica,Soria,2000,6847,Toneladas equivalentes de petróleo,12,meses
hidráulica,Valladolid,2000,16951,Toneladas equivalentes de petróleo,12,meses
hidráulica,Zamora,2000,170716,Toneladas equivalentes de petróleo,12,meses
hidráulica,Ávila,2002,8764,Toneladas equivalentes de petróleo,12,meses
hidráulica,Burgos,2002,22334,Toneladas equivalentes de petróleo,12,meses
hidráulica,León,2002,35565,Toneladas equivalentes de petróleo,12,meses
hidráulica,Palencia,2002,14233,Toneladas equivalentes de petróleo,12,meses
hidráulica,Salamanca,2002,307606,Toneladas equivalentes de petróleo,12,meses
hidráulica,Segovia,2002,6946,Toneladas equivalentes de petróleo,12,meses
hidráulica,Soria,2002,6266,Toneladas equivalentes de petróleo,12,meses
hidráulica,Valladolid,2002,4097,Toneladas equivalentes de petróleo,12,meses
hidráulica,Zamora,2002,112140,Toneladas equivalentes de petróleo,12,meses
hidráulica,Ávila,2004,21152,Toneladas equivalentes de petróleo,12,meses
hidráulica,Burgos,2004,30784,Toneladas equivalentes de petróleo,12,meses
hidráulica,León,2004,55919,Toneladas equivalentes de petróleo,12,meses
hidráulica,Palencia,2004,21146,Toneladas equivalentes de petróleo,12,meses
hidráulica,Salamanca,2004,451798,Toneladas equivalentes de petróleo,12,meses
hidráulica,Segovia,2004,1669,Toneladas equivalentes de petróleo,12,meses
hidráulica,Soria,2004,8179,Toneladas equivalentes de petróleo,12,meses
hidráulica,Valladolid,2004,6629,Toneladas equivalentes de petróleo,12,meses
hidráulica,Zamora,2004,179134,Toneladas equivalentes de petróleo,12,meses
hidráulica,Ávila,2006,26028,Toneladas equivalentes de petróleo,12,meses
hidráulica,Burgos,2006,68955,Toneladas equivalentes de petróleo,12,meses
hidráulica,León,2006,66204,Toneladas equivalentes de petróleo,12,meses
hidráulica,Palencia,2006,37509,Toneladas equivalentes de petróleo,12,meses
hidráulica,Salamanca,2006,308911,Toneladas equivalentes de petróleo,12,meses
hidráulica,Segovia,2006,3317,Toneladas equivalentes de petróleo,12,meses
hidráulica,Soria,2006,34663,Toneladas equivalentes de petróleo,12,meses
hidráulica,Valladolid,2006,4979,Toneladas equivalentes de petróleo,12,meses
hidráulica,Zamora,2006,190872,Toneladas equivalentes de petróleo,12,meses
hidráulica,Ávila,2008,6600,Toneladas equivalentes de petróleo,12,meses
hidráulica,Burgos,2008,5960,Toneladas equivalentes de petróleo,12,meses
hidráulica,León,2008,48514,Toneladas equivalentes de petróleo,12,meses
